Pasar ;01-Jan-18;02-Jan-18;03-Jan-18;04-Jan-18;05-Jan-18;06-Jan-18;07-Jan-18;08-Jan-18;09-Jan-18;10-Jan-18;11-Jan-18;12-Jan-18;13-Jan-18;14-Jan-18;15-Jan-18;16-Jan-18;17-Jan-18;18-Jan-18;19-Jan-18;20-Jan-18;21-Jan-18;22-Jan-18;23-Jan-18;24-Jan-18;25-Jan-18;26-Jan-18;27-Jan-18;28-Jan-18;29-Jan-18;30-Jan-18;31-Jan-18;01-Feb-18;02-Feb-18;03-Feb-18;04-Feb-18;05-Feb-18;06-Feb-18;07-Feb-18;08-Feb-18;09-Feb-18;10-Feb-18;11-Feb-18;12-Feb-18;13-Feb-18;14-Feb-18;15-Feb-18;16-Feb-18;17-Feb-18;18-Feb-18;19-Feb-18;20-Feb-18;21-Feb-18;22-Feb-18;23-Feb-18;24-Feb-18;25-Feb-18;26-Feb-18;27-Feb-18;28-Feb-18;01-Mar-18;02-Mar-18;03-Mar-18
Pasar Baru Metro Atom;55000.0;50000.0;50000.0;50000.0;45000.0;45000.0;45000.0;40000.0;40000.0;40000.0;40000.0;50000.0;45000.0;45000.0;50000.0;45000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;45000.0;50000.0;45000.0;50000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;40000.0;50000.0;50000.0;45000.0;40000.0;40000.0;40000.0;35000.0;35000.0;40000.0;40000.0;35000.0;40000.0;40000.0;40000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;40000.0;40000.0;45000.0;40000.0;40000.0;40000.0
Pasar Cempaka Putih;35000.0;35000.0;36000.0;36000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;40000.0;40000.0;40000.0;40000.0;42000.0;42000.0;42000.0;28000.0;30000.0;30000.0;30000.0;32000.0;30000.0;30000.0;30000.0;40000.0;40000.0;40000.0;40000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;25000.0;25000.0;30000.0;30000.0;30000.0;32000.0;32000.0
Pasar Cengkareng;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0
Pasar Cibubur;34000.0;36000.0;45000.0;40000.0;40000.0;40000.0;40000.0;44000.0;45000.0;44000.0;45000.0;46000.0;48000.0;45000.0;37000.0;37000.0;37000.0;40000.0;35000.0;35000.0;40000.0;36000.0;36000.0;42000.0;40000.0;40000.0;42000.0;37000.0;37000.0;42000.0;44000.0;28000.0;35000.0;35000.0;30000.0;30000.0;28000.0;30000.0;30000.0;35000.0;35000.0;35000.0;30000.0;32000.0;32000.0;32000.0;35000.0;35000.0;34000.0;34000.0;32000.0;32000.0;35000.0;32000.0;25000.0;30000.0;35000.0;35000.0;35000.0;35000.0;30000.0;30000.0
Pasar Cijantung;35000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;40000.0;40000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;40000.0;40000.0;35000.0;35000.0;35000.0;35000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;40000.0;35000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;35000.0;35000.0
Pasar Cipete;35000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;30000.0;30000.0;30000.0;30000.0;35000.0;35000.0;35000.0;40000.0;35000.0;35000.0;40000.0;40000.0;40000.0;28000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;40000.0;35000.0;40000.0;35000.0;35000.0;30000.0;35000.0;35000.0;35000.0;30000.0;30000.0;30000.0;35000.0;35000.0;45000.0;32000.0;32000.0;32000.0;32000.0;35000.0;30000.0;30000.0;30000.0;30000.0
Pasar Ciplak;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;40000.0;40000.0;40000.0;20000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;28000.0;28000.0;28000.0;28000.0;28000.0;28000.0;28000.0;28000.0
Pasar Glodok;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;50000.0;52000.0;52000.0;52000.0;52000.0;52000.0;52000.0;52000.0;52000.0;50000.0;45000.0;45000.0;45000.0;45000.0;45000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;40000.0;40000.0;42000.0;42000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;38000.0;38000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0
Pasar Jembatan Lima;28000.0;30000.0;33000.0;32000.0;38000.0;30000.0;35000.0;35000.0;35000.0;38000.0;38000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;32000.0;40000.0;40000.0;35000.0;38000.0;37000.0;38000.0;38000.0;38000.0;37000.0;38000.0;35000.0;35000.0;35000.0;33000.0;33000.0;35000.0;35000.0;35000.0;33000.0;33000.0;33000.0;33000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;36000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;32000.0;30000.0;30000.0
Pasar Kebayoran Lama;38000.0;36000.0;36000.0;36000.0;36000.0;36000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;38000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0
Pasar Kelapa Gading;45000.0;45000.0;45000.0;45000.0;45000.0;46000.0;46000.0;46000.0;46000.0;46000.0;48000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;45000.0;45000.0;45000.0;40000.0;40000.0;40000.0;40000.0;43000.0;45000.0;45000.0;25000.0;25000.0;50000.0;50000.0;50000.0;50000.0;45000.0;45000.0;40000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;45000.0;43000.0;43000.0;43000.0;40000.0;40000.0;40000.0;40000.0;40000.0;35000.0;35000.0;35000.0;30000.0;30000.0
Pasar Kramat Jati;36000.0;40000.0;40000.0;40000.0;40000.0;38000.0;40000.0;45000.0;40000.0;45000.0;45000.0;40000.0;40000.0;40000.0;45000.0;45000.0;45000.0;45000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;45000.0;40000.0;40000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;30000.0;30000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;30000.0;30000.0;30000.0;30000.0;30000.0;40000.0;30000.0;30000.0;25000.0;30000.0
Pasar Lenteng Agung;42000.0;35000.0;45000.0;45000.0;40000.0;40000.0;40000.0;37000.0;37000.0;42000.0;42000.0;42000.0;42000.0;42000.0;42000.0;42000.0;42000.0;43000.0;42000.0;42000.0;42000.0;42000.0;42000.0;37000.0;42000.0;43000.0;42000.0;43000.0;42000.0;42000.0;43000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;55000.0;35000.0;35000.0;35000.0;35000.0;30000.0
Pasar Mampang Prapatan;36000.0;36000.0;36000.0;36000.0;36000.0;36000.0;36000.0;36000.0;36000.0;36000.0;36000.0;44000.0;44000.0;46000.0;45000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;45000.0;45000.0;45000.0;45000.0;44000.0;44000.0;45000.0;40000.0;40000.0;40000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;42000.0;42000.0;42000.0;35000.0;35000.0;35000.0;35000.0;35000.0;34000.0;34000.0;34000.0;36000.0;36000.0;36000.0;32000.0;32000.0;32000.0;30000.0;30000.0;30000.0;30000.0;30000.0;26000.0
Pasar Mayestik;40000.0;45000.0;45000.0;45000.0;40000.0;40000.0;40000.0;60000.0;60000.0;60000.0;60000.0;60000.0;60000.0;60000.0;52000.0;52000.0;52000.0;52000.0;60000.0;60000.0;60000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;38000.0;35000.0;35000.0;35000.0;38000.0;38000.0;38000.0;38000.0;46000.0;45000.0;45000.0;44000.0;44000.0;44000.0;44000.0;44000.0;44000.0;45000.0;45000.0;44000.0;44000.0;44000.0;44000.0;44000.0;44000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0
Pasar Pademangan Timur;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;50000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;42000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;43000.0;43000.0;43000.0;35000.0;35000.0;35000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;35000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;35000.0;35000.0;35000.0;35000.0;30000.0;30000.0;35000.0;30000.0;30000.0;30000.0;30000.0;30000.0
Pasar Pal Merah;40000.0;50000.0;40000.0;40000.0;35000.0;38000.0;38000.0;38000.0;40000.0;40000.0;50000.0;40000.0;40000.0;40000.0;40000.0;42000.0;40000.0;40000.0;45000.0;45000.0;45000.0;35000.0;38000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;42000.0;40000.0;35000.0;35000.0;40000.0;30000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;35000.0;40000.0;35000.0;35000.0;35000.0;35000.0;35000.0;40000.0;32000.0;35000.0;35000.0;35000.0;30000.0;30000.0;36000.0;30000.0;30000.0;32000.0;32000.0;30000.0;30000.0
Pasar Pal Meriam;32000.0;32000.0;35000.0;35000.0;35000.0;35000.0;35000.0;45000.0;48000.0;48000.0;48000.0;48000.0;40000.0;45000.0;45000.0;45000.0;45000.0;40000.0;45000.0;45000.0;45000.0;45000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;40000.0;28000.0;28000.0;28000.0;28000.0;28000.0;32000.0;35000.0;30000.0;35000.0;30000.0;35000.0;35000.0;35000.0;35000.0;32000.0;32000.0;32000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;30000.0;24000.0
